,0
0,SPY
1,CMCSA
2,KMI
3,INTC
4,MU
5,GDX
6,GE
7,BAC
8,EEM
9,XLF
10,AAPL
11,MSFT
12,SIRI
13,HPQ
14,CX
15,EFA
16,CZR
17,QQQ
18,F
19,AMD
20,SNAP
21,FB
22,WFC
23,AIG
24,T
25,C
26,VALE
27,MS
28,JPM
29,ORCL
30,NKE
31,VWO
32,PG
33,FXI
34,IWM
35,GSM
36,BBD
37,PFE
38,JD
39,NOK
40,TWTR
41,AMLP
42,AVGO
43,AMAT
44,UVXY
45,VXX
46,VEA
47,ZNGA
48,XOM
49,QCOM
50,VIPS
51,GLD
52,CSCO
53,AXP
54,BMY
55,V
56,USO
57,GRPN
58,OIH
59,GERN
60,KEY
61,RF
62,KR
63,HAL
64,BABA
65,MRO
66,GILD
67,IEMG
68,GM
69,FCX
70,CRM
71,ATVI
72,SQ
73,XLK
74,NUE
75,XOP
76,SWN
77,LOW
78,RAD
79,VEON
80,HYG
81,JNK
82,EWJ
83,XLU
84,SLB
85,FLEX
86,FOXA
87,ABBV
88,GIS
89,VZ
90,XRX
91,CVLT
92,IEFA
93,X
94,MAT
95,DVN
96,BKLN
97,IBN
98,MPC
99,EZU
100,PM
101,MSCI
102,RDN
103,KO
104,SRC
105,COP
106,DIS
107,LEN
108,CVX
109,PYPL
110,GDXJ
111,AUY
112,DBEF
113,WMT
114,CLF
115,MRK
116,MDLZ
117,MGM
118,GFI
119,KGC
120,SCHW
121,NBR
122,NVDA
123,JNJ
124,WDC
125,BSX
126,ON
127,ITUB
128,BK
129,HMY
130,APA
131,NGD
132,KOS
133,DAL
134,INFY
135,CCL
136,MFGP
137,PBR
138,DISCA
139,LPI
140,ABT
141,FITB
142,PTEN
143,USB
144,BA
145,GGB
146,JBLU
147,EBAY
148,HBAN
149,DB
150,MRVL
151,WBA
152,CDNA
153,RSX
154,KNX
155,KBH
156,DISCK
157,PGR
158,XLE
159,MO
160,MDT
161,RIG
162,BCS
163,CDEV
164,EOG
165,XLP
166,HPE
167,TXN
168,OAS
169,OKE
170,CVS
171,SVXY
172,HES
173,GDDY
174,BX
175,NLSN
176,TS
177,BOX
178,OXY
179,CVE
180,SYF
181,IAU
182,MTG
183,LUV
184,FTI
185,AA
186,ABEV
187,VTI
188,EQR
189,EWG
190,ETSY
191,TAL
192,UNH
193,GES
194,AMZN
195,NFLX
196,ENTG
197,CSX
198,WYNN
199,FOX
200,CNC
201,ZION
202,CLDR
203,RES
204,CI
205,KRE
206,WMB
207,SYNH
208,HBI
209,XL
210,PAYX
211,D
212,CHS
213,CFG
214,XLI
215,SU
216,SLV
217,MMM
218,BIIB
219,JBL
220,ACN
221,NTR
222,BRFS
223,SBUX
224,EWU
225,LVS
226,EGO
227,GSK
228,TEVA
229,PAA
230,SQQQ
231,VLO
232,IMAX
233,FNB
234,ADSK
235,HD
236,BIDU
237,AR
238,VOYA
239,SPXU
240,MLCO
241,SJNK
242,CWB
243,SM
244,NTRS
245,DHI
246,UAL
247,HRB
248,BTU
249,JBGS
250,IPG
251,DE
252,KHC
253,COG
254,IBM
255,NYT
256,DBJP
257,AAL
258,OLN
259,JCI
260,VICI
261,VST
262,NWL
263,EPD
264,KMB
265,AEP
266,IT
267,CAT
268,AU
269,XRAY
270,KKR
271,IEUR
272,LQD
273,CMC
274,XBI
275,TMUS
276,EWW
277,NRG
278,CPB
279,ATHM
280,WRB
281,MOMO
282,TGT
283,TV
284,GLW
285,MAS
286,DOV
287,HRL
288,TECK
289,AES
290,PPL
291,IXUS
292,SEE
293,NLY
294,FRC
295,EWT
296,STX
